carat,cut,color,clarity,depth_prcnt,table_prcnt,length,price
0.3,2,5,3,61.0,59.0,4.3,405
0.3,3,6,3,59.3,61.0,4.43,405
0.3,4,5,2,62.6,57.0,4.25,405
0.3,4,5,2,63.0,57.0,4.28,405
0.3,1,5,2,63.2,55.0,4.25,405
0.35,2,5,4,60.9,57.0,4.54,552
0.3,3,0,2,62.6,59.0,4.23,552
0.3,2,0,2,62.5,57.0,4.29,552
0.3,2,0,2,62.1,56.0,4.3,552
0.42,3,5,3,61.5,59.0,4.78,552
0.28,2,3,7,61.4,56.0,4.19,553
0.32,2,5,6,62.0,55.3,4.39,553
0.31,4,3,2,63.3,57.0,4.33,553
0.31,3,3,2,61.8,58.0,4.35,553
0.24,3,1,6,60.7,58.0,4.01,553
0.24,4,0,6,61.5,60.0,3.97,553
0.3,4,4,2,63.1,56.0,4.29,554
0.3,3,4,2,62.9,59.0,4.28,554
0.3,3,4,2,62.5,57.0,4.29,554
0.3,1,4,2,63.7,57.0,4.28,554
0.26,4,2,7,59.2,60.0,4.19,554
0.26,4,1,7,59.9,58.0,4.15,554
0.26,4,0,7,62.4,54.0,4.08,554
0.26,4,0,7,62.8,60.0,4.01,554
0.26,4,1,6,62.6,59.0,4.06,554
0.26,4,1,6,63.4,59.0,4.0,554
0.26,4,0,6,62.1,60.0,4.03,554
0.26,2,1,7,62.9,58.0,4.02,554
0.38,2,5,3,61.6,56.0,4.65,554
0.26,1,1,6,57.9,60.0,4.22,554
0.24,3,3,6,62.3,59.0,3.95,554
0.24,3,4,6,61.2,58.0,4.01,554
0.24,3,4,6,60.8,59.0,4.02,554
0.24,3,4,7,60.7,58.0,4.07,554
0.32,3,5,2,62.9,58.0,4.35,554
0.7,2,1,2,62.5,57.0,5.7,2757
0.86,0,1,3,55.1,69.0,6.45,2757
0.7,2,3,5,61.6,56.0,5.7,2757
0.71,4,1,5,62.4,57.0,5.68,2759
0.78,4,3,3,63.8,56.0,5.81,2759
0.7,1,1,5,57.5,58.0,5.85,2759
0.7,1,2,4,59.4,62.0,5.71,2759
0.96,0,2,3,66.3,62.0,6.27,2759
0.73,4,1,2,61.6,59.0,5.77,2760
0.8,3,4,2,61.5,58.0,5.97,2760
0.75,4,0,2,63.2,56.0,5.8,2760
0.75,3,1,2,59.9,54.0,6.0,2760
0.74,2,3,2,61.6,55.0,5.8,2760
0.75,3,3,5,61.7,58.0,5.85,2760
0.8,2,5,4,62.9,56.0,5.94,2760
0.75,2,3,2,62.2,55.0,5.87,2760
0.8,3,3,2,63.0,59.0,5.9,2760
0.74,2,5,7,62.3,55.0,5.77,2761
0.81,2,2,3,58.8,57.0,6.14,2761
0.59,2,1,7,62.0,55.0,5.38,2761
0.8,2,2,3,61.4,57.0,5.96,2761
0.74,2,1,3,62.2,56.0,5.8,2761
0.9,3,5,5,63.0,58.0,6.16,2761
0.74,4,3,2,62.2,59.0,5.73,2762
0.73,2,2,5,62.6,56.0,5.77,2762
0.73,2,2,5,62.7,53.0,5.8,2762
0.8,3,2,3,61.7,58.0,5.98,2762
0.71,2,3,5,62.4,54.0,5.72,2762
0.7,2,1,5,60.7,58.0,5.73,2762
0.8,2,2,3,59.9,59.0,6.01,2762
0.71,2,0,3,62.3,56.0,5.73,2762
0.74,2,1,2,62.3,54.0,5.8,2762
0.7,4,2,5,61.7,63.0,5.64,2762
0.7,0,2,5,64.5,57.0,5.57,2762
0.7,0,2,5,65.3,55.0,5.63,2762
0.7,3,2,5,61.6,60.0,5.65,2762
0.91,3,4,2,61.4,56.0,6.09,2763
0.61,4,0,7,59.6,57.0,5.56,2763
0.91,0,4,3,64.4,57.0,6.11,2763
0.91,0,4,3,65.7,60.0,6.03,2763
0.77,2,4,5,62.0,56.0,5.89,2763
0.71,4,0,2,63.6,58.0,5.64,2764
0.71,2,0,2,61.9,59.0,5.69,2764
0.7,4,1,5,62.6,60.0,5.62,2765
0.77,4,4,4,61.3,60.0,5.88,2765
0.63,3,1,6,60.9,60.0,5.52,2765
0.71,4,2,4,60.1,62.0,5.74,2765
0.71,3,2,4,61.8,59.0,5.69,2765
0.76,2,4,2,61.2,57.0,5.88,2765
0.64,2,3,6,61.9,56.0,5.53,2766
0.71,3,3,5,60.9,57.0,5.78,2766
0.71,3,3,5,59.8,56.0,5.89,2766
0.7,4,0,5,61.8,55.0,5.68,2767
0.7,4,2,4,60.0,57.0,5.8,2767
0.71,2,0,3,61.6,55.0,5.74,2767
0.7,1,4,7,62.1,64.0,5.62,2767
0.71,4,3,4,63.3,59.0,5.52,2768
0.73,4,0,2,60.2,56.0,5.83,2768
0.7,4,0,2,61.1,58.0,5.66,2768
0.7,2,1,2,60.9,57.0,5.73,2768
0.71,3,0,3,61.7,59.0,5.71,2768
0.74,2,5,2,61.3,56.0,5.82,2769
0.71,3,0,5,62.5,60.0,5.65,2770
0.73,3,3,5,61.4,59.0,5.83,2770
0.76,4,2,2,62.9,57.0,5.79,2770
0.76,2,0,3,62.4,57.0,5.78,2770
0.71,2,2,2,60.7,56.0,5.77,2770
0.73,3,3,5,60.7,58.0,5.87,2770
0.73,3,3,4,61.5,58.0,5.79,2770
0.73,2,0,3,59.9,57.0,5.92,2770
0.73,3,3,5,59.2,59.0,5.92,2770
0.72,4,4,7,60.3,56.0,5.81,2771
0.73,4,2,2,61.7,60.0,5.79,2771
0.71,2,3,5,61.9,57.0,5.73,2771
0.79,2,2,3,61.9,55.0,5.97,2771
0.73,4,4,6,60.4,59.0,5.83,2772
0.8,4,2,3,61.0,57.0,6.01,2772
0.58,2,3,6,61.5,55.0,5.39,2772
0.58,2,2,6,61.7,56.0,5.33,2772
0.71,1,1,5,59.2,61.0,5.8,2772
0.75,2,0,3,61.3,56.0,5.85,2773
0.7,3,0,5,58.0,62.0,5.87,2773
1.17,4,6,0,60.2,61.0,6.83,2774
0.6,2,1,4,61.7,55.0,5.41,2774
0.7,2,1,2,62.7,55.0,5.68,2774
0.83,1,5,5,64.6,54.0,5.85,2774
0.74,4,2,5,61.3,61.0,5.8,2775
0.72,4,3,5,63.7,56.4,5.62,2776
0.71,3,1,5,62.7,58.0,5.74,2776
0.71,2,1,5,62.2,57.0,5.79,2776
0.54,2,1,7,61.6,56.0,5.25,2776
0.54,2,1,7,61.5,57.0,5.24,2776
0.72,2,3,2,61.8,56.0,5.72,2776
0.72,2,3,2,60.7,56.0,5.79,2776
0.72,1,3,5,59.7,60.5,5.8,2776
0.71,2,3,2,60.5,56.0,5.8,2776
0.7,4,0,4,62.7,58.0,5.66,2777
0.71,3,2,5,62.1,58.0,5.67,2777
0.71,4,2,5,62.8,57.0,5.64,2777
0.71,1,2,5,63.8,58.0,5.61,2777
0.71,1,2,5,57.8,60.0,5.87,2777
0.7,2,1,5,62.1,55.0,5.7,2777
0.7,3,1,5,61.1,60.0,5.71,2777
0.7,3,1,2,60.0,59.0,5.79,2777
0.7,3,1,2,61.2,57.0,5.73,2777
0.7,3,1,2,62.7,59.0,5.67,2777
0.7,3,1,2,61.0,57.0,5.73,2777
0.7,3,1,2,61.0,58.0,5.78,2777
0.7,2,1,2,61.4,57.0,5.76,2777
0.72,3,2,2,61.8,61.0,5.82,2777
0.7,4,1,2,59.9,63.0,5.76,2777
0.7,3,1,2,61.3,58.0,5.71,2777
0.7,3,1,2,60.5,58.0,5.77,2777
0.7,1,1,5,64.1,59.0,5.64,2777
0.98,0,4,3,67.9,60.0,6.05,2777
0.78,3,2,2,62.4,58.0,5.83,2777
0.7,4,1,2,63.2,60.0,5.6,2777
0.52,2,2,6,61.3,55.0,5.19,2778
0.73,4,4,5,60.8,56.0,5.82,2779
0.74,2,1,2,61.7,56.0,5.84,2779
0.7,4,2,5,63.6,57.0,5.61,2780
0.77,3,3,5,61.2,58.0,5.9,2780
0.71,2,2,5,62.1,54.0,5.68,2780
0.74,2,3,4,61.5,55.0,5.81,2780
0.7,2,3,4,61.4,59.0,5.64,2780
1.01,3,2,0,61.8,60.0,6.39,2781
0.77,2,4,2,62.2,56.0,5.83,2781
0.78,2,4,2,61.2,56.0,5.92,2781
0.72,4,4,4,60.6,63.0,5.83,2782
0.53,4,0,7,57.5,64.0,5.34,2782
0.76,2,3,5,61.3,56.0,5.9,2782
0.7,1,1,4,57.2,62.0,5.81,2782
0.7,3,1,4,62.9,60.0,5.62,2782
0.75,4,0,3,63.1,58.0,5.78,2782
0.72,2,0,2,60.8,57.0,5.76,2782
0.72,3,0,2,62.7,59.0,5.73,2782
0.7,3,0,2,62.8,60.0,5.68,2782
0.84,0,3,2,55.1,67.0,6.39,2782
0.75,3,2,2,61.4,59.0,5.88,2782
0.52,2,2,1,62.2,55.0,5.14,2783
0.72,4,2,5,63.0,54.0,5.69,2784
0.79,4,4,4,63.7,56.0,5.85,2784
0.72,4,2,5,63.6,58.0,5.66,2787
0.51,2,2,6,62.0,57.0,5.11,2787
0.64,2,0,4,61.5,56.0,5.54,2787
0.7,4,4,6,60.5,60.0,5.74,2788
0.83,4,5,4,61.1,60.0,6.07,2788
0.76,2,5,7,61.8,56.0,5.85,2788
0.71,1,0,5,63.3,56.0,5.64,2788
0.77,1,3,4,59.4,64.0,5.97,2788
0.71,2,2,2,62.5,55.0,5.71,2788
1.01,0,1,0,64.5,58.0,6.29,2788
1.01,3,4,3,62.7,59.0,6.31,2788
0.77,1,2,2,64.2,52.0,5.81,2789
0.76,1,1,2,63.7,54.0,5.76,2789
0.76,3,1,2,60.4,58.0,5.92,2789
0.76,3,1,2,61.8,58.0,5.82,2789
1.05,4,6,3,63.2,56.0,6.49,2789
0.81,2,3,3,61.6,56.0,5.97,2789
0.7,2,1,2,61.6,56.0,5.72,2789
0.55,2,3,1,60.9,57.0,5.28,2789
0.81,1,3,3,61.0,61.0,5.94,2789
0.63,3,1,7,62.1,57.0,5.48,2789
0.63,3,1,6,60.9,60.0,5.55,2789
0.77,3,4,4,61.3,60.0,5.9,2789
1.05,0,6,3,65.8,59.0,6.41,2789
0.64,2,3,1,61.3,56.0,5.54,2790
0.76,3,5,6,58.8,59.0,6.0,2790
0.83,2,2,3,62.3,55.0,6.02,2790
0.71,3,2,4,60.1,62.0,5.77,2790
0.71,3,2,4,61.8,59.0,5.73,2790
0.87,4,5,2,63.6,55.8,6.07,2791
0.73,2,1,2,62.2,56.0,5.74,2791
0.71,3,1,2,59.2,59.0,5.83,2792
0.71,3,1,2,61.8,59.0,5.7,2792
0.71,2,1,2,61.3,55.0,5.72,2792
0.7,3,2,4,62.1,60.0,5.71,2792
0.7,3,2,4,60.7,60.0,5.78,2792
0.76,3,4,7,59.6,57.0,5.91,2792
0.7,2,2,4,62.2,56.0,5.73,2792
0.79,4,3,2,60.6,57.0,5.98,2793
0.7,4,1,5,62.9,57.0,5.66,2793
0.7,1,1,5,64.1,55.0,5.6,2793
0.76,2,5,5,61.3,56.0,5.87,2793
0.73,2,4,5,62.7,55.0,5.72,2793
0.79,4,1,2,63.2,56.0,5.91,2794
0.71,4,1,5,60.7,56.0,5.81,2795
0.81,3,5,7,61.9,60.0,5.91,2795
0.81,2,2,3,62.6,55.0,5.92,2795
0.72,1,2,4,60.7,60.0,5.74,2795
0.72,3,0,3,62.0,60.0,5.73,2795
0.72,3,5,1,63.0,57.0,5.72,2795
0.81,3,4,5,58.0,59.0,6.17,2795
0.72,3,3,5,62.9,57.0,5.73,2795
1.0,3,5,3,58.2,60.0,6.61,2795
0.73,1,1,2,63.2,58.0,5.7,2796
0.81,4,4,3,61.3,59.0,5.94,2797
0.81,4,1,2,60.3,60.0,6.07,2797
0.71,3,0,2,62.7,60.0,5.67,2797
0.71,3,0,2,61.3,58.0,5.73,2797
0.71,3,0,2,61.6,60.0,5.74,2797
0.57,2,2,7,61.9,55.0,5.34,2797
0.51,2,0,6,61.7,56.0,5.12,2797
0.72,2,3,5,61.9,58.0,5.72,2797
0.74,2,4,4,61.8,58.0,5.77,2797
0.74,2,4,4,61.6,56.0,5.81,2797
0.7,0,3,6,58.8,66.0,5.81,2797
0.8,3,2,3,61.0,57.0,6.03,2797
1.01,0,1,3,67.4,60.0,6.19,2797
0.8,4,4,5,63.4,60.0,5.92,2797
0.77,2,5,4,61.5,59.0,5.87,2798
0.83,4,1,3,58.0,62.0,6.19,2799
0.82,2,2,3,62.4,54.0,5.97,2799
0.78,2,0,2,61.9,57.0,5.91,2799
0.6,4,3,1,61.6,56.0,5.43,2800
0.9,1,5,3,62.2,59.0,6.07,2800
0.7,3,1,4,62.2,58.0,5.6,2800
0.9,4,5,3,61.3,56.0,6.17,2800
0.83,2,3,2,62.3,57.0,5.99,2800
0.83,2,3,2,61.8,57.0,6.03,2800
0.83,4,4,2,62.5,59.0,5.95,2800
0.74,3,3,4,62.9,60.0,5.74,2800
0.79,2,5,4,61.8,59.0,5.92,2800
0.61,2,3,1,62.3,56.0,5.43,2800
0.76,0,3,4,59.0,70.0,5.89,2800
0.96,2,2,0,60.7,55.0,6.37,2801
0.73,2,2,5,62.5,55.0,5.8,2801
0.73,3,2,5,62.7,58.0,5.76,2801
0.75,2,4,2,60.4,57.0,5.93,2801
0.71,3,2,5,62.1,58.0,5.7,2801
0.71,1,2,5,57.8,60.0,5.9,2801
0.71,1,2,5,63.8,58.0,5.64,2801
0.71,3,2,5,62.8,57.0,5.69,2801
1.04,3,3,0,62.2,58.0,6.46,2801
1.0,3,6,3,62.3,58.0,6.45,2801
0.87,4,3,3,59.9,58.0,6.19,2802
0.53,2,2,1,61.9,54.0,5.22,2802
0.72,3,1,5,63.0,55.0,5.79,2802
0.72,3,2,4,62.4,58.0,5.83,2802
0.7,4,2,5,62.9,58.0,5.63,2803
0.74,4,1,2,63.5,56.0,5.74,2803
0.71,2,3,5,61.3,56.0,5.75,2803
0.73,2,1,2,60.6,54.0,5.84,2803
0.7,1,3,4,65.1,58.0,5.56,2803
0.71,3,2,5,62.6,58.0,5.7,2803
0.71,3,2,5,58.0,62.0,5.85,2803
0.71,3,3,4,62.4,61.0,5.7,2803
0.77,3,3,5,61.3,57.0,5.93,2803
0.71,3,3,5,59.9,60.0,5.81,2803
0.78,3,3,5,60.8,58.0,6.03,2803
0.71,4,3,4,63.5,55.0,5.66,2803
0.91,2,0,3,62.2,57.0,6.21,2803
0.71,4,1,5,63.8,58.0,5.62,2804
0.71,4,1,5,64.0,57.0,5.66,2804
0.8,4,1,3,62.5,56.0,5.88,2804
0.7,4,0,2,62.3,58.0,5.69,2804
0.72,2,2,4,61.7,57.0,5.74,2804
0.72,4,2,4,62.2,58.0,5.75,2804
0.82,2,4,5,61.5,56.0,6.01,2804
0.7,2,0,2,61.0,59.0,5.68,2804
0.72,2,0,2,62.2,56.0,5.74,2804
0.72,2,0,2,61.5,54.0,5.77,2804
0.9,0,5,2,67.3,59.0,5.93,2804
0.74,3,2,5,61.7,58.0,5.85,2805
0.74,3,2,5,61.9,56.0,5.8,2805
0.73,2,1,3,61.8,58.0,5.77,2805
0.57,0,1,6,58.7,66.0,5.34,2805
0.73,3,2,5,62.5,57.0,5.75,2805
0.72,2,3,5,62.8,56.0,5.74,2805
0.74,0,2,5,61.1,68.0,5.82,2805
0.82,1,3,5,64.0,57.0,5.92,2805
0.81,4,3,2,62.5,60.0,5.89,2806
0.75,4,4,6,60.6,58.0,5.85,2806
0.7,2,2,2,61.6,55.0,5.72,2806
0.71,4,2,4,62.2,58.0,5.66,2807
0.71,4,2,4,60.0,57.0,5.84,2807
0.93,3,6,3,61.9,57.0,6.21,2807
0.8,4,4,5,62.8,57.0,5.87,2808
0.7,4,2,4,62.0,57.0,5.64,2808
1.0,0,3,0,66.4,59.0,6.16,2808
0.75,4,3,5,63.4,56.0,5.78,2808
0.58,2,1,7,60.9,56.0,5.41,2808
0.73,4,0,2,63.1,57.0,5.74,2808
0.81,4,2,2,63.1,59.0,5.85,2809
0.81,3,0,3,59.2,57.0,6.15,2809
0.71,3,2,2,60.7,54.0,5.84,2809
1.2,0,2,0,64.6,56.0,6.73,2809
0.7,4,2,4,61.8,56.0,5.63,2810
0.7,4,2,4,59.9,60.0,5.77,2810
0.74,2,0,3,61.7,55.0,5.81,2810
0.7,1,2,4,62.8,61.0,5.57,2810
0.8,1,3,2,62.7,57.0,5.84,2810
0.75,4,2,2,63.4,58.0,5.72,2811
0.83,4,0,2,63.5,54.0,5.98,2811
1.0,0,6,5,65.7,59.0,6.14,2811
0.99,0,5,3,68.1,56.0,6.21,2811
0.7,4,3,4,63.0,60.0,5.57,2812
0.7,4,2,5,59.5,58.0,5.75,2812
0.7,1,1,2,63.5,59.0,5.49,2812
0.7,4,2,5,61.7,58.0,5.63,2812
0.32,3,5,2,62.7,58.0,4.37,554
0.32,3,5,2,62.8,58.0,4.39,554
0.32,2,5,2,62.4,57.0,4.37,554
0.32,3,5,2,61.0,59.0,4.39,554
0.32,4,5,2,63.1,56.0,4.39,554
0.32,2,5,2,60.7,57.0,4.47,554
0.3,3,4,2,60.9,59.0,4.31,554
0.3,3,4,2,60.1,55.0,4.41,554
0.3,3,4,2,62.9,58.0,4.28,554
0.3,4,4,2,63.3,56.0,4.29,554
0.3,1,4,2,63.8,55.0,4.26,554
0.3,2,4,2,62.9,57.0,4.27,554
0.3,4,4,2,63.4,60.0,4.25,554
0.32,1,5,2,63.9,55.0,4.36,554
0.33,2,4,3,61.4,56.0,4.85,554
0.29,4,1,4,61.9,55.0,4.28,555
0.29,4,1,4,62.4,55.0,4.2,555
0.31,4,2,2,61.8,58.0,4.32,555
0.34,2,4,5,61.5,56.0,4.47,555
0.34,2,4,5,60.4,57.0,4.54,555
0.34,2,5,4,61.8,55.0,4.48,555
0.34,2,5,4,62.0,56.0,4.5,555
0.3,2,3,4,62.3,56.0,4.29,555
0.29,2,2,4,61.6,56.0,4.26,555
0.35,2,3,2,60.6,56.0,4.56,555
0.43,4,1,0,58.4,62.0,4.94,555
0.32,4,2,5,61.4,58.0,4.37,556
0.36,2,5,5,61.9,56.0,4.54,556
0.3,2,3,5,62.0,56.0,4.28,556
0.26,2,1,4,61.5,57.0,4.09,556
0.7,4,2,5,62.3,58.0,5.64,2812
0.7,4,2,5,60.9,61.0,5.66,2812
0.71,2,0,2,62.4,57.0,5.69,2812
0.99,0,6,2,55.0,61.0,6.72,2812
0.73,3,1,5,58.6,60.0,5.92,2812
0.51,2,2,6,62.0,57.0,5.15,2812
0.91,3,3,3,59.8,58.0,6.3,2813
0.84,4,1,2,63.4,55.0,6.0,2813
0.91,1,5,5,64.3,58.0,6.09,2813
0.76,3,1,2,62.2,59.0,5.86,2814
0.76,2,1,2,61.7,57.0,5.88,2814
0.75,3,1,2,61.1,59.0,5.86,2814
0.55,4,0,6,61.5,56.0,5.23,2815
0.76,4,2,3,58.5,62.0,5.93,2815
0.74,3,3,4,61.7,58.0,5.79,2815
0.7,2,4,2,60.4,56.0,5.75,2815
0.7,2,4,2,61.4,56.0,5.7,2815
0.7,2,4,2,61.5,55.0,5.73,2815
0.7,2,4,2,61.4,56.0,5.72,2815
0.9,0,6,5,65.0,56.0,6.08,2815
0.95,0,2,3,56.0,60.0,6.62,2815
0.89,3,4,3,60.2,59.0,6.26,2815
0.72,3,1,5,58.3,58.0,5.99,2815
0.96,0,1,3,53.1,63.0,6.73,2815
1.02,3,3,0,60.3,58.0,6.55,2815
0.78,4,5,7,61.4,56.0,5.91,2816
0.61,2,3,7,60.1,57.0,5.52,2816
0.71,1,0,4,63.4,55.0,5.61,2816
0.78,3,2,2,61.5,59.0,5.96,2816
0.87,2,4,3,62.7,56.0,6.16,2816
0.83,2,4,2,62.5,55.0,6.04,2816
0.71,3,1,2,61.3,56.0,5.78,2817
0.71,2,5,7,60.2,56.0,5.84,2817
0.71,2,1,5,62.7,57.0,5.66,2817
0.71,3,1,5,62.3,58.0,5.69,2817
0.63,2,2,7,61.5,56.0,5.48,2817
0.71,3,1,2,59.2,59.0,5.86,2817
0.71,3,1,2,61.8,59.0,5.75,2817
0.71,2,1,2,61.3,55.0,5.77,2817
0.71,3,1,2,61.4,58.0,5.77,2817
0.9,2,6,5,62.8,55.0,6.2,2817
0.71,1,1,2,62.8,64.0,5.6,2817
0.7,3,1,5,62.4,61.0,5.66,2818
0.7,3,1,5,59.3,60.0,5.78,2818
0.7,3,1,5,63.0,60.0,5.64,2818
1.0,3,4,0,61.3,60.0,6.43,2818
0.86,3,2,3,59.3,62.0,6.36,2818
0.8,2,4,2,61.0,57.0,6.07,2818
0.7,2,1,4,62.9,57.0,5.66,2818
0.7,3,1,4,59.6,57.0,5.91,2818
0.7,3,2,5,61.8,60.0,5.69,2818
0.7,3,1,4,62.7,57.0,5.68,2818
1.0,0,4,3,65.3,62.0,6.34,2818
0.72,4,3,4,63.8,58.0,5.64,2819
0.72,2,4,4,62.3,56.0,5.73,2819
0.7,1,2,4,59.7,63.0,5.76,2819
0.86,1,2,3,64.3,60.0,5.97,2819
0.71,2,3,4,62.9,58.0,5.66,2820
0.75,2,1,2,62.0,57.0,5.8,2821
0.73,3,1,5,61.6,59.0,5.77,2821
0.53,2,1,6,61.9,55.0,5.2,2821
0.73,3,1,2,61.3,58.0,5.83,2821
0.73,1,1,2,63.6,57.0,5.72,2821
0.73,3,1,2,59.6,61.0,5.92,2821
0.73,3,1,2,62.2,59.0,5.77,2821
0.73,3,0,2,61.7,55.0,5.84,2821
0.73,4,1,2,63.2,58.0,5.76,2821
0.7,3,1,4,60.8,60.0,5.74,2822
0.72,3,1,5,60.3,59.0,5.84,2822
0.72,3,1,5,60.9,60.0,5.8,2822
0.72,3,1,5,62.4,59.0,5.77,2822
0.7,3,1,5,60.2,60.0,5.73,2822
0.6,2,2,7,62.0,55.0,5.37,2822
0.74,2,5,6,60.8,57.0,5.85,2822
0.73,2,2,2,62.1,55.0,5.75,2822
0.71,3,0,2,62.7,60.0,5.71,2822
0.71,3,0,2,61.3,58.0,5.75,2822
0.7,3,0,2,60.2,60.0,5.82,2822
0.7,2,0,2,60.7,56.0,5.75,2822
0.9,1,6,5,64.0,61.0,6.04,2822
0.71,2,0,2,60.2,56.0,5.86,2822
0.7,3,1,5,61.5,59.0,5.73,2822
0.7,3,1,5,62.6,56.0,5.71,2822
0.7,2,0,2,59.7,58.0,5.82,2822
0.7,1,1,2,61.4,64.0,5.71,2822
0.7,2,0,2,62.5,57.0,5.62,2822
0.7,2,0,2,61.8,56.0,5.73,2822
0.7,3,1,5,60.7,62.0,5.72,2822
0.7,3,2,5,60.6,58.0,5.8,2822
0.7,2,0,2,61.4,54.0,5.75,2822
0.79,4,0,3,62.8,59.0,5.86,2823
0.9,1,5,2,63.8,57.0,6.06,2823
0.71,3,1,5,62.3,58.0,5.71,2823
0.61,2,1,7,61.3,54.0,5.51,2823
0.9,0,4,3,65.8,54.0,6.05,2823
0.71,2,1,2,60.5,56.0,5.77,2823
0.71,3,0,5,61.2,59.0,5.74,2824
0.77,2,5,7,62.1,57.0,5.84,2824
0.74,1,1,4,63.1,58.0,5.73,2824
0.82,2,2,3,62.4,54.0,6.02,2824
0.82,3,1,3,60.8,60.0,6.05,2824
0.71,3,3,4,62.2,59.0,5.73,2825
0.83,3,4,2,60.0,59.0,6.08,2825
0.73,4,3,4,62.0,57.0,5.75,2825
0.83,3,4,2,62.5,59.0,6.02,2825
1.17,3,6,0,60.2,61.0,6.9,2825
0.91,0,4,3,61.3,67.0,6.24,2825
0.73,3,1,4,62.6,60.0,5.75,2826
0.7,1,1,4,57.2,59.0,5.94,2826
0.9,3,5,3,62.2,59.0,6.11,2826
0.7,3,1,4,62.2,58.0,5.66,2826
0.7,4,0,5,63.3,56.0,5.6,2826
0.7,3,1,4,59.4,61.0,5.78,2826
0.9,4,5,3,63.5,56.0,6.17,2826
0.78,3,2,2,60.8,60.0,5.97,2826
0.96,2,2,0,60.7,55.0,6.41,2826
0.7,4,0,2,62.3,59.0,5.67,2827
0.72,1,0,5,64.0,54.0,5.68,2827
0.79,3,4,7,62.6,58.0,5.96,2827
0.7,2,4,6,61.6,57.0,5.69,2827
0.7,2,4,6,62.3,55.0,5.66,2827
0.7,2,0,3,60.6,57.0,5.74,2828
1.01,3,4,3,61.6,61.0,6.39,2828
0.72,3,2,4,62.2,58.0,5.75,2829
0.8,1,1,3,63.7,54.0,5.91,2829
0.59,2,1,6,62.0,56.0,5.36,2829
0.72,2,2,4,61.7,57.0,5.77,2829
0.75,3,1,3,61.9,57.0,5.88,2829
0.8,3,1,3,60.2,57.0,6.05,2829
0.71,4,1,5,62.7,59.0,5.65,2830
0.77,4,4,2,61.7,56.0,5.84,2830
0.97,2,2,0,60.7,56.0,6.41,2830
0.53,2,2,6,60.9,57.0,5.23,2830
0.53,2,2,6,61.8,57.0,5.16,2830
0.8,2,5,5,62.1,54.4,5.94,2830
0.9,3,3,2,60.6,62.0,6.21,2830
0.76,4,1,3,60.8,60.0,5.89,2831
0.72,2,1,2,62.3,57.0,5.7,2831
0.75,2,1,2,61.4,57.0,5.82,2831
0.72,3,1,2,62.1,58.0,5.73,2831
0.79,2,3,2,61.8,56.0,5.93,2831
0.72,4,2,5,62.5,58.0,5.71,2832
